,taxa,stat,est,lower,median,upper,name
0,Mmc,Sb_est,1.273555568,0.338774352,1.162256432,2.879598203,Mmc
1,Mmc,pa_est,0.064581986,0.025235363,0.074188013,0.184691451,Mmc
2,Mmc,b,0.186179762,0.156473455,0.197781236,0.978254171,Mmc
3,Mmc,S_d,-50044.58311,-90194.60853,-48509.03259,-699.7113246,Mmc
4,Mmc,alpha_dfe,0.542372,0.37645895,0.5940445,0.991119575,Mmc
5,Mmc,alpha_div,0.543609,0.377915375,0.5942135,0.991174825,Mmc
0,Mmd_fra,Sb_est,0.043371911,0.000617773,0.068516609,0.213082245,Mmd_fra
1,Mmd_fra,pa_est,0.000122675,7.91E-05,0.000517083,0.224036988,Mmd_fra
2,Mmd_fra,b,0.201922772,0.180601447,0.201887423,7.492404307,Mmd_fra
3,Mmd_fra,S_d,-724.3174803,-4174.620455,-757.7838799,-257.3648014,Mmd_fra
4,Mmd_fra,alpha_dfe,0.000585,0.0003662,0.002481,0.999999525,Mmd_fra
5,Mmd_fra,alpha_div,-0.008809,-0.013805875,-0.0053185,0.999999525,Mmd_fra
0,Mmd_ger,Sb_est,0.084467906,1.67E-05,0.100906975,13.73806755,Mmd_ger
1,Mmd_ger,pa_est,0.000409053,0.000128318,0.000708058,0.22213745,Mmd_ger
2,Mmd_ger,b,0.246132941,0.21290336,0.243094949,8.162105657,Mmd_ger
3,Mmd_ger,S_d,-233.4543272,-6352.048833,-262.7881104,-127.492387,Mmd_ger
4,Mmd_ger,alpha_dfe,0.00201,0.000634075,0.0035465,1,Mmd_ger
5,Mmd_ger,alpha_div,0.001903,-0.00370165,0.0033995,1,Mmd_ger
0,Mmd_ira,Sb_est,0.201057109,0.065395718,0.204227968,74.8115415,Mmd_ira
1,Mmd_ira,pa_est,0.001974887,0.000234226,0.001858633,0.008859908,Mmd_ira
2,Mmd_ira,b,0.133082654,0.125722185,0.136411963,0.163623232,Mmd_ira
3,Mmd_ira,S_d,-26929.17351,-49820.72774,-20504.6016,-5764.61413,Mmd_ira
4,Mmd_ira,alpha_dfe,0.010225,0.002606,0.0115265,0.095925125,Mmd_ira
5,Mmd_ira,alpha_div,0.012602,-0.00056225,0.0140205,0.09872625,Mmd_ira
0,../Mmm_afg/,Sb_est,0.065073896,0.010094949,0.099934458,0.184912985,Mmm_afg
1,../Mmm_afg/,pa_est,0.001037906,0.000170294,0.001055989,0.002291312,Mmm_afg
2,../Mmm_afg/,b,0.189534936,0.166086726,0.190419833,0.215227261,Mmm_afg
3,../Mmm_afg/,S_d,-1153.678276,-2984.701195,-1121.594739,-519.9547729,Mmm_afg
4,../Mmm_afg/,alpha_dfe,0.00501,0.000805275,0.0051035,0.01186675,Mmm_afg
5,../Mmm_afg/,alpha_div,-0.005549,-0.014517175,-0.005633,0.00577225,Mmm_afg
0,Mmm_cze,Sb_est,0.00010751,1.49E-05,0.000231276,0.026910511,Mmm_cze
1,Mmm_cze,pa_est,0.000231311,5.61E-05,0.000845498,0.237657717,Mmm_cze
2,Mmm_cze,b,0.236915902,0.20386604,0.245078612,8.168340384,Mmm_cze
3,Mmm_cze,S_d,-263.4793789,-6464.754973,-309.7041258,-115.0863697,Mmm_cze
4,Mmm_cze,alpha_dfe,0.001068,0.0002629,0.0039085,1,Mmm_cze
5,Mmm_cze,alpha_div,-0.020681,-0.025957325,-0.015029,1,Mmm_cze
0,../Mmm_kaz/,Sb_est,0.066525527,0.007846484,0.066966594,0.161602226,Mmm_kaz
1,../Mmm_kaz/,pa_est,0.000878476,6.63E-05,0.000755642,0.002247643,Mmm_kaz
2,../Mmm_kaz/,b,0.224204019,0.196750031,0.226107768,0.254830611,Mmm_kaz
3,../Mmm_kaz/,S_d,-361.6175269,-830.5313329,-355.2008919,-184.1191312,Mmm_kaz
4,../Mmm_kaz/,alpha_dfe,0.004186,0.000305125,0.003596,0.0112789,Mmm_kaz
5,../Mmm_kaz/,alpha_div,-0.016832,-0.0250602,-0.0173315,-0.008442225,Mmm_kaz
0,Ms,Sb_est,0.107298388,0.033471209,0.093127758,0.180547348,Ms
1,Ms,pa_est,0.001548316,0.000534596,0.001554214,0.003273301,Ms
2,Ms,b,0.155091587,0.130191989,0.15369372,0.174277535,Ms
3,Ms,S_d,-5146.419114,-25100.7596,-5830.763753,-1862.848446,Ms
4,Ms,alpha_dfe,0.007482,0.00251555,0.007393,0.016432,Ms
5,Ms,alpha_div,-0.015422,-0.02510645,-0.014087,-0.002286875,Ms